Company_code,Company_name,ingredient_code,Quantity_per_pack,ingredient_name,Price
1011,サンワ乳研株式会社,A0060004,1・15.00／kg,ﾛﾜｰﾙ（加糖卵黄）,990
1011,サンワ乳研株式会社,A0060006,1・8.00／個,ｻﾜｰｸﾘｰﾑ1L,1702
1011,サンワ乳研株式会社,A0060019,1・1.00／kg,セーヌゼンラン,540
1029,マンドスジャパン株式会社,A0130003,２ｋｇプラスチック・1.00／瓶,カラマタオリーブ種ナシ２ｋｇ,3210
1005,株式会社イワセ・エスタ,A0220008,１ｋｇ・6.00／袋,伊那食品　ル・カンテンウルトラ　１ｋｇ,3700
1005,株式会社イワセ・エスタ,A0220014,７ｋｇ・2.00／缶,ＤＧＦ　トリモリーヌ　７ｋｇ,4880
1005,株式会社イワセ・エスタ,A0220035,５ｋｇ・2.00／袋,ベルコラーデ　ノワールプールアメール　５ｋｇ,18750
1005,株式会社イワセ・エスタ,A0220036,５ｋｇ・2.00／袋,ベルコラーデ　グレンノワールセレクシオン　５ｋｇ,18750
1005,株式会社イワセ・エスタ,A0220041,５００ｇ・12.00／PC,チリ産　ラズベリーホール　５００ｇ,980
1005,株式会社イワセ・エスタ,A0220057,５ｋｇ・2.00／袋,ベルコラーデ　ノワールセレクシオン　ＣＴ　５ｋｇ,15360
1005,株式会社イワセ・エスタ,A0220060,１ｋｇ・5.00／袋,ラ・フルティエール　ブラックベリーホール　１㎏,1420
1005,株式会社イワセ・エスタ,A0220061,１５ｋｇ・1.00／袋,ベルコラーデ　ブランセレクシオンＣＴ　１５ｋｇ,45000
1005,株式会社イワセ・エスタ,A0220062,１５ｋｇ・1.00／袋,ベルコラーデ　ノワールセレクシオンＣＴNEW 15kg,45100
1005,株式会社イワセ・エスタ,A0220063,２５ｋｇ・1.00／缶,秋田屋本店　ミャンマー産はちみつ　２５ｋｇ,15500
1005,株式会社イワセ・エスタ,A0220068,５ｋｇ・2.00／袋,ベルコラーデ　グレンノワールセレクシオンＣＴ　５ｋｇ,14650
1005,株式会社イワセ・エスタ,A0220069,１０ｋｇ・1.00／C/S,アスク　冷凍アップル・スライス　１０ｋｇ,8100
1044,株式会社オザワ食肉センター,A0300076,,ベーコンスライス,1480
1021,株式会社トーホーフードサービス　グループ,A0380015,720ｍｌ・6.00,ポッカ　業務用Ｐレモン１００％Ａ　７２０,810
1021,株式会社トーホーフードサービス　グループ,A0380016,720ML・12.00／本,ポッカ　レモン100％                            720ML,810
1021,株式会社トーホーフードサービス　グループ,A0380046,C/S,日世　ソフトサーブミックス　ロイヤルバニラ　1Ｌ,11208
1021,株式会社トーホーフードサービス　グループ,A0380124,#4・24.00／缶,アディーナライプオリーブスライス＃4,350
1021,株式会社トーホーフードサービス　グループ,A0380129,＃３００・24.00,ＥＢ　スイートコーン　ホール　＃３００,175
1021,株式会社トーホーフードサービス　グループ,A0380137,＃１・6.00,ＥＢ　スイートコーンホール　＃1,1020
1021,株式会社トーホーフードサービス　グループ,A0380151,1L・12.00／本,メグ北海道フレッシュ47　　1L,1333
1021,株式会社トーホーフードサービス　グループ,A0380165,1k・6.00,北海道１００　クリームチーズ　ロイヤルスノー　　1k,1267
1021,株式会社トーホーフードサービス　グループ,A0380180,１ｋｇ・10.00／PC,ＥＢ　ミックスチーズ　ゴーダ＆モッツァレラ　１ｋｇ,1990
1021,株式会社トーホーフードサービス　グループ,A0380192,１L・12.00／本,メグ北海道フレッシュ４７,1333
1021,株式会社トーホーフードサービス　グループ,A0380206,１Ｌ・12.00,メグ　ＬＬ北海道牛乳　１Ｌ,251
1021,株式会社トーホーフードサービス　グループ,A0380207,1L・12.00／本,メグ　メグミルク牛乳　１Ｌ,251
1021,株式会社トーホーフードサービス　グループ,A0380208,1,雪印　脱脂粉乳N                                    25k,21850
1021,株式会社トーホーフードサービス　グループ,A0380223,420g・12.00,ＥＢ　ブラックペッパーあらびき　４２０ｇ,1503
1021,株式会社トーホーフードサービス　グループ,A0380231,PC,TDF　バジル,489
1021,株式会社トーホーフードサービス　グループ,A0380237,100g・10.00,EBオレガノホール袋100g,268
1021,株式会社トーホーフードサービス　グループ,A0380315,１ｋ・10.00,Ｎ　サラダえびグルムキバナメイ　５１／６０　　１ｋ,2720
1021,株式会社トーホーフードサービス　グループ,A0380327,500ｇ・20.00／PC,ＥＢスモークサーモンスライスＮＥＷ　５００ｇ,2672
1021,株式会社トーホーフードサービス　グループ,A0380433,１ｋ・15.00,テーオー　フレンド印生おろしにんにく　１ｋ,999
1021,株式会社トーホーフードサービス　グループ,A0380439,個,TDF　トマト,411
1021,株式会社トーホーフードサービス　グループ,A0380451,1,ＴＤＦ　グリーンカールリーフ　５００ｇ,2222
1021,株式会社トーホーフードサービス　グループ,A0380457,6.00／C/S,QP　EX　タマゴサラダ（マイルド）　1ｋ,948
1021,株式会社トーホーフードサービス　グループ,A0380582,500ｇ・15.00,サンナッツ  レーズン                               500g,690
1021,株式会社トーホーフードサービス　グループ,A0380610,500g・20.00,EBかぼちゃ（北海道産）500g,418
1021,株式会社トーホーフードサービス　グループ,A0380624,500g・20.00,日水　台湾産むきえだ豆　５００ｇ,390
1021,株式会社トーホーフードサービス　グループ,A0380628,600ｇ・10.00,カゴメ　地中海野菜グリルのミックス　　           600g,638
1021,株式会社トーホーフードサービス　グループ,A0380717,700ｇ・10.00／袋,ＱＰ　スノーマン　とろ～りやわらかたまご,790
1021,株式会社トーホーフードサービス　グループ,A0380725,1L・9.00／個,ＱＰオイルソースガーリック＆赤唐辛子,1073
1021,株式会社トーホーフードサービス　グループ,A0380754,＃2・12.00,ハインツ　ミートソース　＃２,896
1021,株式会社トーホーフードサービス　グループ,A0380787,１０ＭＬ／４０・10.00,ＱＰ　シーザーサラダドレッシング　１０ＭＬ／４０,569
1021,株式会社トーホーフードサービス　グループ,A0380793,１Ｌ・9.00,ＥＢ　ドレッシング　シーザー（ＮＥＷ）　１Ｌ,702
1021,株式会社トーホーフードサービス　グループ,A0380813,1k・10.00／本,ＥＢ　マヨネーズ,618
1021,株式会社トーホーフードサービス　グループ,A0380816,1ｋ・10.00,QP  プロユースからし      マヨネーズ               1k,898
1021,株式会社トーホーフードサービス　グループ,A0380826,1K・10.00／袋,伯方の塩　フルール．ド．セル,820
1021,株式会社トーホーフードサービス　グループ,A0380839,１ｋ・20.00,グラニュー糖　１ｋ,319
1021,株式会社トーホーフードサービス　グループ,A0380862,#4・24.00／缶,ギャバンエスカルゴ36入＃4,955
1021,株式会社トーホーフードサービス　グループ,A0380868,１ｋ・6.00／PC,ＥＢ　北海道で育ったポテトサラダ　　１Ｋ,459
1021,株式会社トーホーフードサービス　グループ,A0380903,１Ｋ・6.00／PC,カゴメ　菜園風野菜のカポナータ 1k,1360
1021,株式会社トーホーフードサービス　グループ,A0380979,5ｇ/20・30.00／個,雪印北海道ポーションホイップバター5g/20,435
1021,株式会社トーホーフードサービス　グループ,A0380981,450g・30.00／個,雪印　バター（食塩不使用）Ｆ　　４５０Ｇ,830
1021,株式会社トーホーフードサービス　グループ,A0380983,1,雪印　バターファーメント    食塩不使用（MK）  1.25k/5,12090
1021,株式会社トーホーフードサービス　グループ,A0380985,個,雪印ＦＮバター25,48425
1021,株式会社トーホーフードサービス　グループ,A0380995,220ｇ/5・6.00,ＥＢ　冷凍スパゲッティ　220ｇ/5,486
1021,株式会社トーホーフードサービス　グループ,A0381008,２００ｇ・5.00,ＱＰ　フライドオニオン　２００ｇ,1105
1021,株式会社トーホーフードサービス　グループ,A0381014,1ｋｇ・12.00／PC,QP　凍結全卵　１ｋｇ,722
1021,株式会社トーホーフードサービス　グループ,A0381018,6,QPPP加糖凍結卵黄2k,2633
1021,株式会社トーホーフードサービス　グループ,A0381039,500g・20.00／袋,京果　ムキ枝豆（中国）　５００ｇ,340
1021,株式会社トーホーフードサービス　グループ,A0381042,24,マルハニチロ　ツナフレークＥＯ　１５５ｇ,230
1021,株式会社トーホーフードサービス　グループ,A0381055,８００ｇ・12.00／PC,ヤマダイ　３種きのこブロッコリーのバジルマリネ,1242
1021,株式会社トーホーフードサービス　グループ,A0381061,125ｇ・48.00,チェスコ　イルドフランスカマンベール　１Ｐ,609
1021,株式会社トーホーフードサービス　グループ,A0381071,1ｋ・10.00,ケンコーマヨネーズ　ベイクドスライスポテト,520
1021,株式会社トーホーフードサービス　グループ,A0381076,1,ＴＤＦ　グリーンカール　１個,422
1021,株式会社トーホーフードサービス　グループ,A0381091,1k・12.00,苓北そると　天草の塩                                 1k,1337
1021,株式会社トーホーフードサービス　グループ,A0381114,10,サラダえびむき５１／６０　ＦＮＦ　１ｋ,2720
1021,株式会社トーホーフードサービス　グループ,A0381117,1個・1.00,TDF レモン,167
1021,株式会社トーホーフードサービス　グループ,A0381152,1ｋ・10.00,ポークウインナー　1Ｋ,1080
1021,株式会社トーホーフードサービス　グループ,A0381160,12,カゴメ　ピザソース２号缶　（ＮＥＷ）　８４０ｇ,512
1021,株式会社トーホーフードサービス　グループ,A0381186,500ｇ・20.00／PC,ＥＢミネストローネ　500ｇ,524
1021,株式会社トーホーフードサービス　グループ,A0381190,1L・12.00,おいしい雪印メグミルク牛乳　１Ｌ,251
1021,株式会社トーホーフードサービス　グループ,A0381243,500ｇ・10.00,カゴメ　冷凍１２種野菜のスープ　５００Ｇ,598
1021,株式会社トーホーフードサービス　グループ,A0381247,5000ｸﾞﾗﾑ・10.00／PC,ﾓﾙﾀﾃﾞﾗﾎﾞﾛ-ﾆﾔｽﾗｲｽ 500G,1700
1021,株式会社トーホーフードサービス　グループ,A0381253,1kg・10.00／本,ＥＢ　マヨネーズ（卵黄タイプ）１ｋg,618
1021,株式会社トーホーフードサービス　グループ,A0381269,12,ハインツ　てりやき　１２１０ｇ,1038
1021,株式会社トーホーフードサービス　グループ,A0381270,10,伊藤ハム　グリルチキンむねスライス（プレーン）　１ｋ,1850
1021,株式会社トーホーフードサービス　グループ,A0381278,kg・1.00／kg,TDF　国産むき玉ねぎ（4～6玉）kg,611
1021,株式会社トーホーフードサービス　グループ,A0381279,1ｋ・6.00／PC,ＥＢ　ごろっとたまごとベーコンのマカロニサラダ,835
1021,株式会社トーホーフードサービス　グループ,A0381283,1,デリカフーズ　国産大葉　１０枚入り　１Ｐ,161
1021,株式会社トーホーフードサービス　グループ,A0381294,230ｇ・9.00／個,TMミニカップデザートイチゴミルク,858
1021,株式会社トーホーフードサービス　グループ,A0381302,16,アグリ　北海道産かぼちゃ（スライス）　５００ｇ,526
1021,株式会社トーホーフードサービス　グループ,A0381318,1L・6.00,厨房応援団 照焼ソース     1L,1030
1021,株式会社トーホーフードサービス　グループ,A0381328,100g　＊　お取り寄せ　＊・48.00／個,チェスコ　フランスロックフォールソシエテ100g,1860
1021,株式会社トーホーフードサービス　グループ,A0381333,8,コルノ　シェルマカロニ大　１ｋ,495
1021,株式会社トーホーフードサービス　グループ,A0381341,1,ＴＤＦ　マッシュルーム　１Ｐ,333
1021,株式会社トーホーフードサービス　グループ,A0381350,30,ＡＷ　ハモンセラーノスライスガスパック　２００ｇ,1090
1021,株式会社トーホーフードサービス　グループ,A0381351,500ｇ・20.00,さぶーる　業務用イタリアンソーセージスライス　５００ｇ,887
1021,株式会社トーホーフードサービス　グループ,A0381352,12,メグ　メグミルク牛乳　1L,251
1021,株式会社トーホーフードサービス　グループ,A0381353,1k・10.00／PC,冷凍ベジタブルフリットミスト 1k,1290
1021,株式会社トーホーフードサービス　グループ,A0381354,20,ＥＢ　サルサヴェルデ（グレモラータソース）　２００ｇ,840
1021,株式会社トーホーフードサービス　グループ,A0381355,15,ＡＷ　ワカサギと海老のオレンジエスカベッシュ　１ｋ,2190
1021,株式会社トーホーフードサービス　グループ,A0381364,12,エイワ　ホワイトマシュマロ　１１０ｇ,150
1021,株式会社トーホーフードサービス　グループ,A0381365,12,ＳＯ　ミックスピクルス　９００ｇ,1180
1021,株式会社トーホーフードサービス　グループ,A0381366,500g・12.00,ＥＢオレンジ香るキャロットラぺ　５００ｇ,440
1021,株式会社トーホーフードサービス　グループ,A0381368,2L・4.00／個,バラエティ　チョコチップミント　２Ｌ,1497
1021,株式会社トーホーフードサービス　グループ,A0381375,PC,TDF デリカフーズ　みょうが　　１束,433
1021,株式会社トーホーフードサービス　グループ,A0381376,500ｇ・10.00,西京味噌  白みそ  別撰      （G）                 500g,350
1021,株式会社トーホーフードサービス　グループ,A0381379,1ｋ・10.00,ＥＢ　コーンクリームスープ（２倍濃縮）　1Ｋ,640
1021,株式会社トーホーフードサービス　グループ,A0381405,6,シュアクリスプ　シューストリング１／４インチ　５ＬＢ,1551
1021,株式会社トーホーフードサービス　グループ,A0381444,875g・4.00／袋,ベスト　ＪＧＴブロッシェンソーセージ　３５　８７５ｇ,2000
1021,株式会社トーホーフードサービス　グループ,A0381445,1,雪印　脱脂粉乳　２５ｋ,21350
1021,株式会社トーホーフードサービス　グループ,A0381464,,ＡＷ　ハモンセラーノスライス 100g,545
1021,株式会社トーホーフードサービス　グループ,A0381467,12,Ｆ　ＹＫベーコンスライスリテナー　１ｋ,1650
1021,株式会社トーホーフードサービス　グループ,A0381477,6,ＦＤＦＰｌｕｓごぼうサラダ　１ｋ,890
1021,株式会社トーホーフードサービス　グループ,A0381481,6,ケンコー　パンプキンサラダＵ　１ｋ,1098
1021,株式会社トーホーフードサービス　グループ,A0381489,１ｋ・10.00／PC,ケンコーマヨネ－ズ　ベイクドスライスポテト 1k,520
1021,株式会社トーホーフードサービス　グループ,A0381490,12,チェスコ　コンテ　６ヶ月熟成　１００ｇ,1180
1021,株式会社トーホーフードサービス　グループ,A0381491,５００ｇ・20.00／PC,宮崎県産カットほうれん草IQF,360
1021,株式会社トーホーフードサービス　グループ,A0381497,１ｋｇ・10.00／袋,Ａ ＥＢ　サラダえび　５１／６０　１ｋ,2720
1021,株式会社トーホーフードサービス　グループ,A0381498,20,ＥＢ冷凍アボカドダイス　５００ｇ,650
1021,株式会社トーホーフードサービス　グループ,A0381499,10,アグリハート　グルメ村　国産ほうれん草ＢＱＦ　１ｋ,648
1021,株式会社トーホーフードサービス　グループ,A0381500,500g・12.00／PC,ＥＢ　スイートコーンスープ（粉末）　５００ｇ,980
1021,株式会社トーホーフードサービス　グループ,A0381501,24,ヤマダイ食品　紫キャベツのラぺ　５００ｇ,610
1021,株式会社トーホーフードサービス　グループ,A0381502,,ＡＷ　チョリソスライス　　　　　　　　　１００ｇ,620
1021,株式会社トーホーフードサービス　グループ,A0381503,10,創味食品　創味　カルボナーラソースＬ　１ｋ,734
1021,株式会社トーホーフードサービス　グループ,A0381504,＃2・12.00／個,ＳＯピクルススイートレリッシュ　　　#2,773
1021,株式会社トーホーフードサービス　グループ,A0381505,300ｇ,ＱＰ　ＥＸ　たまごサラダ（マイルド）        300g,284
1024,株式会社ひのー,A0390007,1K×1・1.00,VH ココア 1K,3690
1024,株式会社ひのー,A0390010,5K×1・1.00,VH ココア 5K,18450
1024,株式会社ひのー,A0390027,10L×1・1.00,3－タンネン キリッシュワッサ－ 10L,50300
1024,株式会社ひのー,A0390042,1K×1・1.00,BD ア－モントﾞW ノンハﾟレル 1K,1480
1024,株式会社ひのー,A0390048,13.6K×1・1.00,USA ヒﾟスタチオ 脱皮 W 13.6K,60656
1024,株式会社ひのー,A0390049,1K×1・1.00,USA ヒﾟスタチオ 脱皮 W 1K,4460
1024,株式会社ひのー,A0390070,5K×1・1.00,アルティサﾞル フランフﾟ－トﾞル 5K,5950
1024,株式会社ひのー,A0390078,4,茜丸　こし餡十勝　3K,2140
1024,株式会社ひのー,A0390086,500g×12,ｼﾀﾃﾞｰﾙ ﾒｰﾌﾟﾙｼﾛｯﾌﾟ,1750
1024,株式会社ひのー,A0390091,1K×1・1.00,森永 チッフﾟチョコ ホワイト ハﾞラ,2130
1024,株式会社ひのー,A0390092,10K×1・1.00,森永 チッフﾟチョコ ホワイト 10K,21300
1024,株式会社ひのー,A0390149,＃2・1.00／缶,カコﾞメ トマトヘﾟースト ＃2,970
1024,株式会社ひのー,A0390162,＃1×1・6.00,角田 渋皮マロンAS ＃1,6500
1024,株式会社ひのー,A0390163,＃1×6・6.00,角田 渋皮マロンAS ＃1×6缶 ケース,39000
1024,株式会社ひのー,A0390166,＃2・1.00／缶,ｶｺﾞﾒ ﾄﾏﾄｿｰｽ #2,540
1024,株式会社ひのー,A0390167,＃4×1・1.00,アテﾞィーナ スライスフﾞラックオリ－フﾞ＃4,330
1024,株式会社ひのー,A0390193,＃4・1.00／缶,チヤオコ－ ココナツミルク ＃4,360
1024,株式会社ひのー,A0390201,1kg・12.00／PC,ﾛﾙﾌ ｴﾒﾝﾀｰﾙ ﾀﾞｲｽ ｶｯﾄ ﾁｰｽﾞ,2600
1024,株式会社ひのー,A0390231,420g×1・1.00,G 荒挽フﾞラックヘﾟッハﾟ－ 420g,1640
1024,株式会社ひのー,A0390232,420g・12.00／缶,G 荒挽ﾌﾞﾗｯｸﾍﾟｯﾊﾟｰ 420g,1640
1024,株式会社ひのー,A0390275,80g・12.00／缶,SB ﾊﾟｾﾘﾁｯﾌﾟ L 80g,780
1024,株式会社ひのー,A0390313,1ｋ・1.00／PC,SB ｼﾅﾓﾝ ﾊﾟｳﾀﾞｰ 1k,2410
1024,株式会社ひのー,A0390355,500ｇ・1.00／PC,ﾗ ･ ﾌﾟﾘﾒﾗ ｽﾓｰｸｻｰﾓﾝ 切り落し 500g,2440
1024,株式会社ひのー,A0390364,500ｇ・20.00／PC,ﾊｺﾞﾛﾓ ｼｰﾁｷﾝBE ﾌﾚｰｸ 液切不要 500g,730
1024,株式会社ひのー,A0390406,1ｋ・1.00／PC,ﾆﾝﾍﾞﾝ F ﾗﾀﾄｩｲﾕ 1k,1250
1024,株式会社ひのー,A0390419,1K・6.00／PC,田中 ﾋﾞﾀｰﾁｮｺﾌﾗﾜｰﾍﾟｰｽﾄ 1K,810
1024,株式会社ひのー,A0390425,1ｋ・4.00／C/S,田中 ﾌﾟﾁｰﾙ VB ｶｽﾀｰN　1ｋ,810
1024,株式会社ひのー,A0390435,1K・5.00／PC,ﾆﾝﾍﾞﾝF DFﾗﾀﾄｨﾕ 1K,1240.175439
1024,株式会社ひのー,A0390442,2ｋ・1.00／PC,田中製餡 黒豆 2k,2320
1024,株式会社ひのー,A0390450,1ｋ・1.00／PC,ｶｾｲ さつま甘露煮 1k,1290
1024,株式会社ひのー,A0390458,2K・6.00／缶,ｱｲｺｸ ﾍﾞｰｷﾝｸﾞﾊﾟｳﾀﾞｰ 白 ｱﾙﾐﾆｳﾑﾌﾘｰ 2K,2360
1024,株式会社ひのー,A0390464,20個・1.00／PC,QP とろーりやわらか たまご 35g×20 個,850
1024,株式会社ひのー,A0390472,1ｋ・1.00／PC,ｹﾝｺｰ ﾍﾞｲｸﾄﾞ ｽﾗｲｽﾎﾟﾃﾄ 1k,570
1024,株式会社ひのー,A0390482,820g・1.00／本,JC バジルペースト 820g,2460
1024,株式会社ひのー,A0390496,500g・10.00／PC,ﾘﾊﾞｰ&ｻﾝ ﾌﾗｲﾄﾞｵﾆｵﾝ 500g,970
1024,株式会社ひのー,A0390508,1K・1.00／PC,ﾄﾞﾗｲｸﾗﾝﾍﾞﾘｰ 1K,1010
